Timestep,SolFlat,SolN,SolS,SolE,SolW,T_ext_C
2672,0.27,0.209,0.29,0.514,0.038,7.1
2673,0.466,0.312,0.54,0.719,0.134,9.5
2674,0.629,0.387,0.759,0.827,0.319,12.1
2675,0.749,0.442,0.913,0.842,0.513,14.4
2676,0.803,0.465,0.987,0.78,0.671,16.3
2677,0.752,0.441,0.928,0.627,0.743,17.7
2678,0.685,0.417,0.838,0.473,0.782,18.7
2679,0.583,0.38,0.695,0.314,0.761,19.2
2680,0.462,0.328,0.528,0.159,0.698,19.2
2681,0.335,0.269,0.349,0.085,0.598,18.6
2682,0.199,0.201,0.17,0.072,0.449,17.4
2683,0.077,0.116,0.049,0.049,0.25,15.7
2684,0.022,0.021,0.021,0.021,0.021,13.9
2685,0.002,0.002,0.002,0.002,0.002,12.7
2686,0,0,0,0,0,11.4
2687,0,0,0,0,0,10
2688,0,0,0,0,0,8.7
2689,0,0,0,0,0,7.9
2690,0,0,0,0,0,7
2691,0,0,0,0,0,6.5
2692,0,0,0,0,0,6
2693,0,0,0,0,0,5.7
2694,0,0,0,0,0,5.7
2695,0.062,0.063,0.055,0.139,0.023,7.3
2696,0.232,0.186,0.248,0.427,0.047,9.4
2697,0.437,0.298,0.505,0.669,0.134,11.8
2698,0.593,0.375,0.71,0.773,0.312,14
2699,0.675,0.413,0.824,0.763,0.474,16.1
2700,0.69,0.425,0.845,0.679,0.591,17.8
2701,0.666,0.418,0.807,0.566,0.659,19.1
2702,0.648,0.414,0.776,0.461,0.73,20
2703,0.537,0.369,0.625,0.313,0.681,20.5
2704,0.448,0.338,0.488,0.208,0.618,20.5
2705,0.356,0.294,0.362,0.129,0.582,19.9
2706,0.219,0.219,0.187,0.095,0.452,18.8
2707,0.093,0.151,0.052,0.052,0.34,17.3
2708,0.025,0.024,0.024,0.024,0.024,15.7
2709,0.002,0.002,0.002,0.002,0.002,14.1
2710,0,0,0,0,0,12.5
2711,0,0,0,0,0,10.8
2712,0,0,0,0,0,9.2
2713,0,0,0,0,0,7.9
2714,0,0,0,0,0,6.6
2715,0,0,0,0,0,5.8
2716,0,0,0,0,0,5.1
2717,0,0,0,0,0,4.6
2718,0,0,0,0,0,4.6
2719,0.075,0.077,0.065,0.186,0.018,6.1
2720,0.261,0.206,0.277,0.487,0.041,8
2721,0.436,0.299,0.502,0.668,0.134,10
2722,0.537,0.347,0.642,0.698,0.29,11.9
2723,0.547,0.356,0.655,0.611,0.4,13.6
2724,0.53,0.361,0.617,0.516,0.462,15.1
2725,0.51,0.359,0.587,0.445,0.501,16.3
2726,0.479,0.36,0.526,0.381,0.505,17
2727,0.425,0.325,0.459,0.295,0.489,17.5
2728,0.335,0.266,0.351,0.19,0.428,17.5
2729,0.28,0.239,0.282,0.128,0.427,17
2730,0.211,0.214,0.18,0.086,0.448,16
2731,0.09,0.133,0.055,0.055,0.277,14.5
2732,0.027,0.026,0.026,0.026,0.026,13
2733,0.002,0.002,0.002,0.002,0.002,11.7
2734,0,0,0,0,0,10.2
2735,0,0,0,0,0,8.9
2736,0,0,0,0,0,7.5
2737,0,0,0,0,0,6.8
2738,0,0,0,0,0,6
2739,0,0,0,0,0,5.6
2740,0,0,0,0,0,5.2
2741,0,0,0,0,0,4.9
2742,0,0,0,0,0,5.2
2743,0.068,0.07,0.06,0.154,0.023,7.1
2744,0.228,0.185,0.242,0.414,0.048,7.7
2745,0.409,0.289,0.468,0.617,0.141,8.6
2746,0.575,0.375,0.684,0.745,0.314,11.1
2747,0.669,0.424,0.808,0.752,0.479,13.5
2748,0.749,0.463,0.91,0.734,0.64,12.7
2749,0.808,0.49,0.987,0.677,0.8,13
2750,0.799,0.488,0.966,0.546,0.908,14.7
2751,0.721,0.457,0.855,0.363,0.949,15.9
2752,0.575,0.402,0.652,0.174,0.88,16.6
2753,0.401,0.327,0.414,0.091,0.722,16.5
2754,0.225,0.231,0.187,0.075,0.507,15.8
2755,0.09,0.132,0.055,0.055,0.269,14.6
2756,0.024,0.023,0.023,0.023,0.023,13.3
2757,0.002,0.002,0.002,0.002,0.002,12.2
2758,0,0,0,0,0,11
2759,0,0,0,0,0,9.9
2760,0,0,0,0,0,8.7
2761,0,0,0,0,0,8
